# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001       0.0460436       0.0460436       0.0460436
     0.000106333       0.0488411       0.0488411       0.0488411
     0.000113066       0.0518084       0.0518084       0.0518084
     0.000120226       0.0549558       0.0549558       0.0549558
      0.00012784       0.0582942       0.0582942       0.0582942
     0.000135936        0.061835        0.061835        0.061835
     0.000144544       0.0655907       0.0655907       0.0655907
     0.000153697        0.069574        0.069574        0.069574
     0.000163431       0.0737988       0.0737988       0.0737988
      0.00017378       0.0782795       0.0782795       0.0782795
     0.000184785       0.0830316       0.0830316       0.0830316
     0.000196487       0.0880714       0.0880714       0.0880714
      0.00020893       0.0934162       0.0934162       0.0934162
      0.00022216       0.0990841       0.0990841       0.0990841
     0.000236229        0.105095        0.105095        0.105095
     0.000251189        0.111468        0.111468        0.111468
     0.000267096        0.118226        0.118226        0.118226
      0.00028401        0.125392        0.125392        0.125392
     0.000301995        0.132989        0.132989        0.132989
     0.000321119        0.141043        0.141043        0.141043
     0.000341455        0.149581        0.149581        0.149581
     0.000363078        0.158631        0.158631        0.158631
     0.000386071        0.168224        0.168224        0.168224
     0.000410519         0.17839         0.17839         0.17839
     0.000436516        0.189162        0.189162        0.189162
     0.000464159        0.200577        0.200577        0.200577
     0.000493552        0.212669        0.212669        0.212669
     0.000524807        0.225478        0.225478        0.225478
     0.000558042        0.239043        0.239043        0.239043
     0.000593381        0.253407        0.253407        0.253407
     0.000630957        0.268613        0.268613        0.268613
     0.000670914        0.284707        0.284707        0.284707
       0.0007134        0.301736        0.301736        0.301736
     0.000758578        0.319751        0.319751        0.319751
     0.000806616        0.338801        0.338801        0.338801
     0.000857696         0.35894         0.35894         0.35894
     0.000912011        0.380221        0.380221        0.380221
     0.000969765        0.402701        0.402701        0.402701
      0.00103118        0.426436        0.426436        0.426436
      0.00109648        0.451484        0.451484        0.451484
      0.00116591        0.477903        0.477903        0.477903
      0.00123975        0.505751        0.505751        0.505751
      0.00131826        0.535088        0.535088        0.535088
      0.00140174        0.565971        0.565971        0.565971
       0.0014905        0.598456        0.598456        0.598456
      0.00158489        0.632599        0.632599        0.632599
